,id,wind_direction,wind_speed,pm10,pm25,humidity,dew,visibility,temperature
0,50136,68.0,0.0,,,67.0,-28.3,2.1,-23.9
1,50137,15.0,0.0,,,67.0,-26.0,30.0,-21.5
2,50246,259.0,4.0,,,49.0,-22.2,24.3,-13.8
3,50247,116.0,1.0,,,69.0,-28.1,14.3,-24.0
4,50349,271.0,5.0,26.0,14.0,40.0,-23.5,30.0,-12.7
5,50353,252.0,0.0,26.0,14.0,67.0,-27.9,7.5,-23.5
6,50425,231.0,0.0,23.0,8.0,69.0,-31.5,5.1,-27.6
7,50431,232.0,1.0,23.0,8.0,69.0,-31.6,7.6,-27.7
8,50434,146.0,0.0,23.0,8.0,65.0,-28.3,17.4,-23.6
9,50442,294.0,3.0,26.0,14.0,44.0,-24.4,30.0,-14.8
10,50445,337.0,2.0,26.0,14.0,52.0,-23.5,26.0,-15.9
11,50468,297.0,4.0,26.0,14.0,44.0,-22.5,30.0,-12.8
12,50514,242.0,3.0,23.0,8.0,67.0,-24.7,30.0,-20.2
13,50524,228.0,3.0,23.0,8.0,65.0,-26.8,18.1,-22.0
14,50525,203.0,2.0,23.0,8.0,60.0,-27.1,24.7,-21.4
15,50526,268.0,2.0,23.0,8.0,64.0,-25.5,30.0,-20.5
16,50527,184.0,3.0,23.0,8.0,62.0,-27.4,30.0,-22.1
17,50548,63.0,0.0,81.0,61.0,59.0,-25.5,20.7,-19.5
18,50557,285.0,3.0,15.0,12.0,45.0,-22.4,30.0,-13.0
19,50564,258.0,3.0,15.0,12.0,44.0,-22.5,16.0,-12.8
20,50566,236.0,4.0,15.0,12.0,52.0,-22.8,30.0,-15.2
21,50603,242.0,5.0,23.0,8.0,72.0,-22.2,30.0,-18.4
22,50618,227.0,3.0,23.0,8.0,67.0,-27.0,30.0,-22.5
23,50632,287.0,4.0,23.0,8.0,46.0,-23.7,30.0,-14.6
24,50639,347.0,4.0,81.0,61.0,32.0,-23.0,30.0,-9.3
25,50645,267.0,4.0,81.0,61.0,39.0,-22.3,30.0,-11.1
26,50646,244.0,5.0,81.0,61.0,54.0,-22.0,22.6,-14.8
27,50647,178.0,1.0,81.0,61.0,40.0,-23.4,6.7,-12.6
28,50655,265.0,4.0,81.0,61.0,50.0,-22.8,30.0,-14.7
29,50656,183.0,1.0,127.0,118.0,57.0,-24.3,7.8,-17.8
30,50658,204.0,2.0,81.0,61.0,55.0,-24.0,17.6,-17.1
31,50659,269.0,2.0,127.0,118.0,55.0,-24.5,15.7,-17.6
32,50673,74.0,0.0,28.0,12.0,63.0,-26.4,24.4,-21.2
33,50674,233.0,4.0,28.0,12.0,47.0,-23.0,30.0,-14.1
34,50727,356.0,0.0,18.0,13.0,68.0,-25.8,30.0,-21.5
35,50739,216.0,2.0,81.0,61.0,43.0,-22.6,6.4,-12.6
36,50741,207.0,2.0,81.0,61.0,43.0,-22.0,20.0,-11.9
37,50742,260.0,1.0,81.0,61.0,42.0,-23.2,11.7,-13.0
38,50745,243.0,2.0,81.0,61.0,48.0,-23.6,7.5,-15.0
39,50749,234.0,2.0,115.0,81.0,60.0,-22.3,11.2,-16.3
40,50750,254.0,2.0,81.0,61.0,54.0,-23.9,9.4,-16.8
41,50755,310.0,2.0,127.0,118.0,63.0,-23.7,10.7,-18.4
42,50756,164.0,2.0,127.0,118.0,71.0,-24.9,2.6,-21.0
43,50758,247.0,3.0,58.0,3.0,73.0,-23.1,16.1,-19.5
44,50767,211.0,2.0,127.0,118.0,72.0,-25.1,4.3,-21.4
45,50772,230.0,5.0,28.0,12.0,53.0,-24.8,12.4,-17.5
46,50774,259.0,5.0,61.0,46.0,48.0,-22.6,14.3,-14.0
