,id,wind_direction,wind_speed,pm10,pm25,humidity,dew,visibility,temperature
0,50136,257.0,1.0,,,74.0,-32.9,20.0,-29.7
1,50137,0.0,0.0,,,71.0,-33.4,30.0,-29.8
2,50246,286.0,1.0,84.0,59.0,73.0,-31.5,14.5,-28.2
3,50247,159.0,0.0,,,73.0,-32.6,30.0,-29.3
4,50349,272.0,0.0,84.0,59.0,72.0,-31.6,15.0,-28.1
5,50353,225.0,1.0,84.0,59.0,74.0,-33.0,24.2,-29.9
6,50425,52.0,2.0,,,70.0,-16.3,28.2,-11.9
7,50431,62.0,1.0,,,80.0,-21.1,26.4,-18.5
8,50434,157.0,0.0,,,80.0,-21.1,30.0,-18.5
9,50442,217.0,0.0,84.0,59.0,80.0,-22.7,19.7,-20.1
10,50445,199.0,0.0,84.0,59.0,79.0,-24.2,20.3,-21.5
11,50468,332.0,1.0,74.0,60.0,74.0,-27.5,10.6,-24.2
12,50514,237.0,1.0,,,77.0,-23.9,20.3,-20.9
13,50524,17.0,2.0,,,79.0,-16.7,29.9,-13.9
14,50525,48.0,1.0,,,72.0,-15.8,30.0,-11.8
15,50526,79.0,1.0,,,76.0,-14.4,29.2,-11.0
16,50527,341.0,2.0,,,74.0,-15.7,30.0,-12.0
17,50548,356.0,0.0,200.0,144.0,78.0,-21.7,4.6,-18.8
18,50557,70.0,1.0,84.0,59.0,78.0,-24.2,5.2,-21.4
19,50564,190.0,1.0,60.0,53.0,76.0,-24.3,4.6,-21.2
20,50566,205.0,0.0,60.0,53.0,80.0,-26.3,5.1,-23.8
21,50603,334.0,4.0,,,82.0,-19.2,30.0,-16.9
22,50618,217.0,1.0,,,77.0,-12.9,30.0,-9.6
23,50632,332.0,1.0,200.0,144.0,81.0,-14.3,29.0,-11.7
24,50639,165.0,0.0,200.0,144.0,77.0,-16.4,4.3,-13.2
25,50645,38.0,5.0,200.0,144.0,76.0,-20.0,4.4,-16.8
26,50646,56.0,4.0,200.0,144.0,81.0,-20.2,1.8,-17.7
27,50647,44.0,2.0,200.0,144.0,80.0,-18.6,3.5,-15.9
28,50655,77.0,3.0,200.0,144.0,82.0,-21.7,2.9,-19.4
29,50656,93.0,2.0,104.0,90.0,82.0,-20.4,1.7,-18.1
30,50658,90.0,3.0,200.0,144.0,83.0,-18.3,2.8,-16.1
31,50659,103.0,3.0,104.0,90.0,86.0,-19.5,1.6,-17.7
32,50673,0.0,0.0,49.0,41.0,72.0,-32.1,9.3,-28.6
33,50674,0.0,0.0,49.0,41.0,76.0,-29.7,7.2,-26.7
34,50727,168.0,1.0,80.0,61.0,56.0,-13.7,30.0,-6.4
35,50739,18.0,3.0,138.0,124.0,84.0,-19.5,2.5,-17.4
36,50741,62.0,3.0,200.0,144.0,78.0,-19.3,5.4,-16.4
37,50742,61.0,2.0,200.0,144.0,83.0,-19.4,1.3,-17.2
38,50745,83.0,2.0,200.0,144.0,77.0,-19.4,1.8,-16.3
39,50749,125.0,1.0,236.0,163.0,82.0,-17.7,3.6,-15.3
40,50750,91.0,2.0,200.0,144.0,83.0,-19.6,1.4,-17.4
41,50755,101.0,1.0,104.0,90.0,83.0,-19.0,1.5,-16.8
42,50756,135.0,1.0,104.0,90.0,84.0,-18.7,1.4,-16.6
43,50758,108.0,5.0,241.0,220.0,85.0,-19.4,4.6,-17.5
44,50767,69.0,1.0,104.0,90.0,83.0,-20.0,3.3,-17.8
45,50772,233.0,0.0,49.0,41.0,75.0,-28.8,6.2,-25.7
46,50774,121.0,0.0,86.0,61.0,80.0,-25.5,5.7,-23.0
47,50775,341.0,1.0,34.0,32.0,83.0,-21.8,13.9,-19.7
48,50776,267.0,1.0,176.0,65.0,81.0,-22.1,5.6,-19.7
49,50778,25.0,1.0,404.0,238.0,80.0,-24.0,7.0,-21.5
50,50779,146.0,1.0,404.0,238.0,78.0,-29.8,22.7,-27.1
51,50787,230.0,3.0,404.0,238.0,79.0,-22.2,6.7,-19.5
52,50788,217.0,1.0,404.0,238.0,81.0,-23.1,4.1,-20.7
53,50832,333.0,0.0,112.0,87.0,82.0,-16.9,6.8,-14.5
54,50833,41.0,2.0,112.0,87.0,85.0,-17.0,4.0,-15.0
55,50834,303.0,2.0,80.0,61.0,83.0,-17.3,16.2,-15.1
56,50838,265.0,1.0,112.0,87.0,79.0,-14.4,10.8,-11.5
57,50842,155.0,1.0,236.0,163.0,85.0,-16.1,1.4,-14.1
58,50844,34.0,1.0,186.0,6.0,82.0,-16.3,2.0,-13.9
59,50850,108.0,1.0,236.0,163.0,86.0,-14.5,1.2,-12.7
60,50851,89.0,1.0,104.0,90.0,85.0,-17.1,2.6,-15.2
61,50852,99.0,2.0,104.0,90.0,85.0,-17.0,2.6,-15.0
62,50853,123.0,1.0,109.0,85.0,84.0,-16.1,6.8,-14.0
63,50854,82.0,2.0,234.0,184.0,85.0,-16.8,1.6,-14.8
64,50858,94.0,2.0,139.0,126.0,91.0,-17.1,3.0,-16.1
65,50859,116.0,1.0,139.0,126.0,85.0,-18.9,2.3,-17.0
66,50861,71.0,2.0,109.0,85.0,85.0,-21.9,4.5,-20.1
67,50862,73.0,1.0,109.0,85.0,80.0,-23.6,4.1,-21.1
68,50867,98.0,2.0,139.0,126.0,82.0,-21.7,2.5,-19.4
69,50871,213.0,1.0,121.0,108.0,79.0,-24.2,8.4,-21.5
70,50873,234.0,1.0,116.0,100.0,80.0,-24.6,3.4,-22.1
71,50877,0.0,0.0,121.0,108.0,81.0,-20.4,4.7,-17.9
72,50878,264.0,1.0,73.0,72.0,85.0,-20.2,3.8,-18.3
73,50879,90.0,1.0,48.0,44.0,87.0,-19.0,4.2,-17.4
74,50880,221.0,1.0,404.0,238.0,79.0,-16.9,4.5,-14.1
75,50881,255.0,1.0,404.0,238.0,84.0,-20.4,6.1,-18.4
76,50884,214.0,1.0,72.0,63.0,79.0,-16.6,9.7,-13.7
77,50888,239.0,1.0,404.0,238.0,82.0,-22.7,7.3,-20.4
78,50892,149.0,1.0,404.0,238.0,81.0,-27.2,4.8,-24.9
79,50913,94.0,0.0,80.0,61.0,82.0,-14.5,2.0,-12.1
80,50915,0.0,0.0,37.0,35.0,83.0,-14.0,9.8,-11.7
81,50924,0.0,0.0,80.0,61.0,80.0,-14.2,12.0,-11.4
82,50928,321.0,0.0,80.0,61.0,77.0,-14.6,30.0,-11.4
83,50934,355.0,1.0,80.0,61.0,84.0,-14.0,10.2,-11.8
84,50936,82.0,0.0,186.0,6.0,87.0,-15.7,1.9,-14.0
85,50937,23.0,1.0,80.0,61.0,88.0,-13.1,9.1,-11.5
86,50939,134.0,3.0,173.0,148.0,81.0,-12.4,4.2,-9.9
87,50940,61.0,1.0,186.0,6.0,87.0,-14.6,4.9,-13.0
88,50945,123.0,2.0,92.0,77.0,88.0,-12.2,30.0,-10.7
89,50946,104.0,1.0,92.0,77.0,89.0,-13.4,3.3,-12.1
90,50948,124.0,1.0,124.0,86.0,77.0,-12.3,8.0,-9.0
91,50949,105.0,1.0,124.0,86.0,86.0,-14.4,30.0,-12.5
92,50950,109.0,3.0,186.0,156.0,82.0,-14.2,6.3,-11.8
93,50953,80.0,1.0,139.0,126.0,85.0,-19.0,2.6,-17.1
94,50954,83.0,1.0,92.0,77.0,85.0,-15.7,1.9,-13.7
95,50955,136.0,2.0,118.0,100.0,78.0,-15.2,30.0,-12.2
96,50956,121.0,1.0,139.0,126.0,86.0,-17.6,4.6,-15.8
97,50958,171.0,0.0,118.0,100.0,84.0,-18.0,12.0,-15.9
98,50960,125.0,0.0,140.0,113.0,85.0,-17.7,10.5,-15.8
99,50962,36.0,1.0,140.0,113.0,76.0,-27.3,5.1,-24.3
100,50963,61.0,0.0,121.0,108.0,82.0,-24.2,5.3,-22.0
101,50964,141.0,0.0,104.0,63.0,83.0,-22.1,3.3,-20.0
102,50965,60.0,0.0,140.0,113.0,80.0,-25.1,5.1,-22.6
103,50968,247.0,1.0,118.0,100.0,82.0,-22.2,2.3,-19.9
104,50971,351.0,1.0,126.0,82.0,81.0,-23.4,4.9,-21.0
105,50973,199.0,1.0,48.0,44.0,82.0,-17.2,12.4,-14.8
106,50978,284.0,3.0,41.0,27.0,77.0,-16.5,4.9,-13.3
107,50979,191.0,0.0,41.0,27.0,80.0,-22.8,7.0,-20.2
108,50983,233.0,2.0,63.0,54.0,89.0,-17.2,6.6,-15.8
109,50985,15.0,0.0,63.0,54.0,82.0,-15.4,21.2,-13.0
110,50987,290.0,3.0,56.0,52.0,70.0,-17.1,30.0,-12.8
111,51053,80.0,1.0,112.0,84.0,81.0,-16.5,11.0,-13.9
112,51058,99.0,1.0,112.0,84.0,79.0,-24.7,30.0,-22.0
113,51059,92.0,4.0,112.0,84.0,70.0,-16.2,23.8,-11.8
114,51060,125.0,2.0,112.0,84.0,80.0,-22.2,6.1,-19.6
115,51068,101.0,0.0,112.0,84.0,82.0,-24.2,6.7,-22.0
116,51076,333.0,1.0,112.0,84.0,80.0,-18.7,17.4,-16.1
117,51087,128.0,1.0,,,84.0,-19.3,30.0,-17.2
118,51133,32.0,0.0,136.0,88.0,78.0,-14.3,19.5,-11.2
119,51137,250.0,3.0,136.0,88.0,72.0,-15.1,30.0,-11.0
120,51145,75.0,0.0,136.0,88.0,75.0,-16.5,17.5,-13.0
121,51156,21.0,2.0,112.0,84.0,62.0,-17.8,30.0,-12.0
122,51186,0.0,0.0,,,77.0,-27.4,17.0,-24.5
123,51232,188.0,2.0,78.0,42.0,85.0,-17.5,2.4,-15.6
124,51238,256.0,0.0,78.0,42.0,78.0,-24.5,4.3,-21.7
125,51241,154.0,1.0,136.0,88.0,65.0,-14.4,30.0,-9.0
126,51243,0.0,0.0,136.0,88.0,85.0,-18.5,2.4,-16.6
127,51288,77.0,2.0,205.0,202.0,48.0,-18.0,30.0,-9.0
128,51328,8.0,1.0,129.0,110.0,72.0,-11.0,29.8,-6.8
129,51329,58.0,0.0,129.0,110.0,89.0,-12.3,8.9,-10.8
130,51330,258.0,1.0,78.0,42.0,64.0,-20.9,30.0,-15.6
