,id,wind_direction,wind_speed,pm10,pm25,humidity,dew,visibility,temperature
0,50136,0.0,0.0,20.0,19.0,73.0,-34.1,10.2,-30.8
1,50137,351.0,1.0,20.0,19.0,71.0,-34.4,8.3,-30.9
2,50246,269.0,2.0,20.0,19.0,75.0,-28.7,9.7,-25.6
3,50247,228.0,0.0,20.0,19.0,74.0,-33.2,6.3,-30.1
4,50349,173.0,1.0,20.0,19.0,74.0,-30.3,22.1,-27.1
5,50353,4.0,0.0,25.0,4.0,75.0,-32.0,6.0,-29.0
6,50425,232.0,0.0,22.0,18.0,82.0,-19.3,3.3,-17.0
7,50431,278.0,0.0,20.0,19.0,80.0,-24.5,3.6,-22.0
8,50434,177.0,2.0,20.0,19.0,78.0,-25.4,7.5,-22.6
9,50442,300.0,1.0,20.0,19.0,79.0,-24.4,20.9,-21.7
10,50445,340.0,1.0,20.0,19.0,76.0,-26.6,19.7,-23.6
11,50468,338.0,1.0,25.0,4.0,74.0,-26.3,20.4,-23.0
12,50514,256.0,2.0,22.0,18.0,76.0,-24.4,18.8,-21.3
13,50524,218.0,3.0,22.0,18.0,84.0,-18.0,2.4,-15.9
14,50525,183.0,1.0,22.0,20.0,81.0,-18.0,2.5,-15.5
15,50526,325.0,0.0,22.0,18.0,84.0,-18.3,2.1,-16.2
16,50527,199.0,2.0,22.0,18.0,79.0,-19.7,3.0,-16.9
17,50548,138.0,0.0,20.0,19.0,76.0,-26.5,2.3,-23.5
18,50557,45.0,1.0,20.0,19.0,79.0,-25.4,2.3,-22.8
19,50564,0.0,0.0,28.0,22.0,79.0,-23.6,2.4,-20.9
20,50566,249.0,2.0,28.0,22.0,82.0,-22.4,17.8,-20.1
21,50603,265.0,3.0,22.0,20.0,83.0,-23.5,30.0,-21.4
22,50618,227.0,2.0,22.0,20.0,89.0,-22.0,1.0,-20.7
23,50632,316.0,4.0,22.0,20.0,74.0,-18.2,22.9,-14.6
24,50639,346.0,2.0,35.0,26.0,56.0,-18.1,20.0,-11.1
25,50645,34.0,1.0,35.0,26.0,78.0,-21.0,29.0,-18.1
26,50646,12.0,1.0,35.0,26.0,76.0,-20.8,9.0,-17.6
27,50647,314.0,2.0,35.0,26.0,71.0,-18.6,19.7,-14.5
28,50655,213.0,1.0,35.0,26.0,79.0,-22.9,11.2,-20.2
29,50656,6.0,1.0,67.0,52.0,70.0,-21.9,21.4,-17.8
30,50658,19.0,3.0,35.0,26.0,67.0,-21.2,30.0,-16.5
31,50659,8.0,2.0,67.0,52.0,70.0,-22.4,30.0,-18.3
32,50673,209.0,1.0,28.0,15.0,77.0,-26.3,9.7,-23.4
33,50674,0.0,0.0,28.0,15.0,79.0,-25.9,12.5,-23.3
34,50727,357.0,1.0,19.0,19.0,79.0,-20.1,6.5,-17.3
35,50739,3.0,2.0,12.0,12.0,79.0,-17.1,4.7,-14.3
36,50741,293.0,2.0,35.0,26.0,69.0,-17.3,16.2,-12.8
37,50742,340.0,2.0,35.0,26.0,75.0,-20.9,5.0,-17.5
38,50745,42.0,0.0,35.0,26.0,78.0,-18.0,9.6,-15.0
39,50749,7.0,2.0,30.0,29.0,72.0,-21.9,14.0,-18.1
40,50750,40.0,2.0,35.0,26.0,69.0,-19.9,20.0,-15.5
41,50755,32.0,2.0,67.0,52.0,69.0,-21.5,28.8,-17.2
42,50756,10.0,1.0,67.0,52.0,77.0,-21.0,2.1,-18.0
43,50758,40.0,4.0,28.0,19.0,72.0,-19.8,24.9,-15.9
44,50767,14.0,1.0,67.0,52.0,71.0,-18.5,6.1,-14.4
45,50772,54.0,2.0,28.0,15.0,74.0,-25.8,10.3,-22.4
46,50774,0.0,0.0,32.0,27.0,78.0,-24.5,9.8,-21.7
47,50775,333.0,3.0,19.0,11.0,58.0,-16.0,30.0,-9.3
48,50776,261.0,1.0,27.0,12.0,71.0,-17.3,4.9,-13.2
49,50778,229.0,3.0,104.0,59.0,77.0,-18.6,5.4,-15.5
50,50779,168.0,4.0,104.0,59.0,75.0,-19.8,19.4,-16.4
51,50787,240.0,3.0,104.0,59.0,82.0,-18.1,30.0,-15.7
52,50788,291.0,4.0,104.0,59.0,78.0,-18.3,23.9,-15.3
53,50832,325.0,4.0,24.0,21.0,55.0,-16.5,30.0,-9.1
54,50833,316.0,3.0,24.0,21.0,75.0,-15.8,27.1,-12.3
55,50834,269.0,4.0,19.0,19.0,69.0,-17.5,17.3,-13.0
56,50838,286.0,2.0,24.0,21.0,60.0,-13.7,30.0,-7.3
57,50842,359.0,4.0,30.0,29.0,74.0,-20.7,7.0,-17.2
58,50844,4.0,2.0,29.0,15.0,70.0,-17.6,9.2,-13.3
59,50850,2.0,2.0,30.0,29.0,73.0,-21.1,25.0,-17.4
60,50851,49.0,5.0,67.0,52.0,70.0,-20.5,20.6,-16.3
61,50852,18.0,2.0,67.0,52.0,71.0,-21.0,7.5,-17.0
62,50853,60.0,0.0,75.0,58.0,68.0,-18.6,17.3,-14.0
63,50854,340.0,2.0,28.0,19.0,69.0,-21.5,11.4,-17.2
64,50858,326.0,4.0,69.0,62.0,81.0,-21.3,8.2,-19.0
65,50859,315.0,1.0,69.0,62.0,79.0,-22.5,4.0,-19.8
66,50861,3.0,0.0,75.0,58.0,87.0,-19.3,3.1,-17.8
67,50862,186.0,0.0,75.0,58.0,84.0,-20.4,1.1,-18.4
68,50867,270.0,2.0,69.0,62.0,84.0,-13.3,4.2,-11.1
69,50871,255.0,0.0,122.0,114.0,81.0,-18.4,2.4,-15.9
70,50873,0.0,0.0,98.0,85.0,82.0,-17.4,1.2,-15.0
71,50877,299.0,0.0,122.0,114.0,80.0,-16.3,3.8,-13.6
72,50878,222.0,1.0,127.0,116.0,82.0,-17.6,2.8,-15.2
73,50879,279.0,1.0,94.0,55.0,80.0,-13.9,3.1,-11.1
74,50880,264.0,1.0,104.0,59.0,70.0,-17.3,11.4,-13.0
75,50881,291.0,3.0,104.0,59.0,74.0,-17.4,16.2,-13.8
76,50884,202.0,0.0,104.0,59.0,61.0,-15.9,9.9,-9.8
77,50888,176.0,1.0,121.0,114.0,83.0,-17.9,2.5,-15.7
78,50892,360.0,1.0,104.0,59.0,81.0,-22.4,5.1,-20.0
79,50913,268.0,3.0,19.0,19.0,79.0,-19.9,14.4,-17.1
80,50915,0.0,0.0,,,81.0,-22.4,9.4,-20.0
81,50924,277.0,4.0,19.0,19.0,74.0,-18.5,20.6,-14.9
82,50928,291.0,4.0,19.0,19.0,65.0,-16.5,22.0,-11.2
83,50934,296.0,1.0,19.0,19.0,78.0,-12.0,10.9,-8.9
84,50936,351.0,2.0,29.0,15.0,77.0,-13.0,23.4,-9.7
85,50937,315.0,5.0,19.0,19.0,73.0,-12.6,30.0,-8.6
86,50939,341.0,2.0,26.0,23.0,86.0,-11.7,18.3,-9.9
87,50940,2.0,3.0,29.0,15.0,72.0,-15.2,28.4,-11.3
88,50945,337.0,4.0,18.0,16.0,81.0,-15.9,30.0,-13.4
89,50946,315.0,1.0,18.0,16.0,78.0,-15.4,29.6,-12.5
90,50948,319.0,2.0,43.0,16.0,83.0,-14.6,6.6,-12.3
